user_id,variant,timestamp,baseline_sessions,segment,clicks,impressions,bounce_rate
49,treatment,2025-01-01 00:48:00,10,power_searchers,2,21,0
50,treatment,2025-01-01 00:49:00,6,typical,1,15,0
51,control,2025-01-01 00:50:00,7,power_searchers,1,23,1
52,treatment,2025-01-01 00:51:00,5,typical,1,15,0
53,control,2025-01-01 00:52:00,8,power_searchers,1,19,0
54,treatment,2025-01-01 00:53:00,5,typical,2,18,1
55,treatment,2025-01-01 00:54:00,6,typical,3,22,0
56,treatment,2025-01-01 00:55:00,5,typical,1,16,0
57,control,2025-01-01 00:56:00,7,power_searchers,1,29,0
58,control,2025-01-01 00:57:00,7,power_searchers,2,21,0
59,control,2025-01-01 00:58:00,5,typical,2,17,0
60,control,2025-01-01 00:59:00,6,typical,1,16,0
61,control,2025-01-01 01:00:00,8,power_searchers,2,21,0
62,treatment,2025-01-01 01:01:00,6,typical,3,27,1
63,control,2025-01-01 01:02:00,3,light_searchers,1,21,0
64,control,2025-01-01 01:03:00,8,power_searchers,2,24,0
65,control,2025-01-01 01:04:00,4,typical,1,16,0
66,treatment,2025-01-01 01:05:00,6,typical,0,14,0
67,control,2025-01-01 01:06:00,8,power_searchers,2,17,0
68,treatment,2025-01-01 01:07:00,3,light_searchers,2,21,0
69,treatment,2025-01-01 01:08:00,10,power_searchers,3,22,0
70,treatment,2025-01-01 01:09:00,7,power_searchers,4,23,1
71,treatment,2025-01-01 01:10:00,4,typical,3,17,0
72,treatment,2025-01-01 01:11:00,4,typical,0,13,1
73,treatment,2025-01-01 01:12:00,6,typical,2,17,0
74,control,2025-01-01 01:13:00,4,typical,2,15,0
75,treatment,2025-01-01 01:14:00,8,power_searchers,1,30,0
76,control,2025-01-01 01:15:00,13,power_searchers,1,26,0
77,treatment,2025-01-01 01:16:00,5,typical,0,15,0
78,control,2025-01-01 01:17:00,5,typical,2,26,0
79,treatment,2025-01-01 01:18:00,4,typical,3,18,0
80,treatment,2025-01-01 01:19:00,8,power_searchers,4,22,0
81,control,2025-01-01 01:20:00,6,typical,2,14,0
82,control,2025-01-01 01:21:00,6,typical,2,19,0
83,control,2025-01-01 01:22:00,11,power_searchers,2,23,0
84,treatment,2025-01-01 01:23:00,6,typical,1,18,0
85,treatment,2025-01-01 01:24:00,6,typical,3,11,0
86,control,2025-01-01 01:25:00,4,typical,4,21,0
87,control,2025-01-01 01:26:00,6,typical,5,24,0
88,control,2025-01-01 01:27:00,9,power_searchers,1,21,0
89,control,2025-01-01 01:28:00,5,typical,1,21,0
90,treatment,2025-01-01 01:29:00,5,typical,3,18,1
91,control,2025-01-01 01:30:00,9,power_searchers,4,23,0
92,control,2025-01-01 01:31:00,6,typical,1,18,0
93,treatment,2025-01-01 01:32:00,4,typical,1,21,0
94,control,2025-01-01 01:33:00,5,typical,2,25,0
95,treatment,2025-01-01 01:34:00,5,typical,2,22,0
96,treatment,2025-01-01 01:35:00,6,typical,1,23,0
97,treatment,2025-01-01 01:36:00,5,typical,3,29,0
98,treatment,2025-01-01 01:37:00,6,typical,0,24,0
99,treatment,2025-01-01 01:38:00,3,light_searchers,1,28,0
100,treatment,2025-01-01 01:39:00,7,power_searchers,4,26,0
101,control,2025-01-01 01:40:00,7,power_searchers,2,17,0
102,control,2025-01-01 01:41:00,5,typical,2,23,0
103,treatment,2025-01-01 01:42:00,4,typical,0,21,0
104,control,2025-01-01 01:43:00,7,power_searchers,1,19,0
105,control,2025-01-01 01:44:00,6,typical,0,11,0
106,control,2025-01-01 01:45:00,9,power_searchers,4,33,0
107,treatment,2025-01-01 01:46:00,3,light_searchers,2,23,0
108,treatment,2025-01-01 01:47:00,7,power_searchers,3,24,0
109,control,2025-01-01 01:48:00,5,typical,2,18,0
110,control,2025-01-01 01:49:00,2,light_searchers,1,18,0
111,control,2025-01-01 01:50:00,4,typical,0,24,0
112,control,2025-01-01 01:51:00,3,light_searchers,2,23,0
113,control,2025-01-01 01:52:00,10,power_searchers,4,31,0
114,treatment,2025-01-01 01:53:00,6,typical,0,17,0
115,treatment,2025-01-01 01:54:00,6,typical,2,20,0
116,control,2025-01-01 01:55:00,8,power_searchers,2,26,0
117,treatment,2025-01-01 01:56:00,4,typical,2,19,0
118,control,2025-01-01 01:57:00,9,power_searchers,5,20,0
119,control,2025-01-01 01:58:00,8,power_searchers,5,25,0
120,treatment,2025-01-01 01:59:00,5,typical,4,21,0
121,control,2025-01-01 02:00:00,7,power_searchers,3,25,0
122,treatment,2025-01-01 02:01:00,4,typical,3,16,0
123,control,2025-01-01 02:02:00,5,typical,1,17,1
124,control,2025-01-01 02:03:00,6,typical,0,15,0
125,treatment,2025-01-01 02:04:00,8,power_searchers,1,16,0
126,treatment,2025-01-01 02:05:00,5,typical,5,16,0
127,treatment,2025-01-01 02:06:00,2,light_searchers,1,18,0
128,treatment,2025-01-01 02:07:00,3,light_searchers,1,15,0
129,control,2025-01-01 02:08:00,7,power_searchers,1,17,0
130,treatment,2025-01-01 02:09:00,7,power_searchers,4,32,0
131,treatment,2025-01-01 02:10:00,11,power_searchers,1,25,0
132,control,2025-01-01 02:11:00,7,power_searchers,1,18,1
133,control,2025-01-01 02:12:00,2,light_searchers,1,17,0
134,control,2025-01-01 02:13:00,9,power_searchers,5,23,0
135,control,2025-01-01 02:14:00,6,typical,1,12,0
136,control,2025-01-01 02:15:00,4,typical,1,11,0
137,control,2025-01-01 02:16:00,6,typical,1,16,0
138,treatment,2025-01-01 02:17:00,7,power_searchers,2,18,0
139,control,2025-01-01 02:18:00,5,typical,1,16,1
140,control,2025-01-01 02:19:00,5,typical,1,21,0
141,control,2025-01-01 02:20:00,7,power_searchers,4,43,0
142,treatment,2025-01-01 02:21:00,5,typical,4,16,1
143,control,2025-01-01 02:22:00,5,typical,1,21,1
144,control,2025-01-01 02:23:00,4,typical,4,19,0
145,treatment,2025-01-01 02:24:00,8,power_searchers,1,17,0
146,control,2025-01-01 02:25:00,7,power_searchers,3,30,0
147,treatment,2025-01-01 02:26:00,6,typical,1,20,0
148,control,2025-01-01 02:27:00,5,typical,3,18,0
149,treatment,2025-01-01 02:28:00,8,power_searchers,2,25,0
150,control,2025-01-01 02:29:00,4,typical,1,19,0
151,control,2025-01-01 02:30:00,4,typical,2,24,0
152,control,2025-01-01 02:31:00,11,power_searchers,3,27,0
153,treatment,2025-01-01 02:32:00,3,light_searchers,4,23,0
154,treatment,2025-01-01 02:33:00,5,typical,2,18,1
155,treatment,2025-01-01 02:34:00,5,typical,0,9,0
156,treatment,2025-01-01 02:35:00,8,power_searchers,2,26,1
157,treatment,2025-01-01 02:36:00,3,light_searchers,2,17,0
158,treatment,2025-01-01 02:37:00,5,typical,0,22,0
159,control,2025-01-01 02:38:00,5,typical,3,25,0
160,treatment,2025-01-01 02:39:00,2,light_searchers,1,22,1
161,control,2025-01-01 02:40:00,3,light_searchers,3,17,0
162,control,2025-01-01 02:41:00,8,power_searchers,6,31,1
163,control,2025-01-01 02:42:00,7,power_searchers,2,20,0
164,control,2025-01-01 02:43:00,6,typical,1,16,0
165,control,2025-01-01 02:44:00,5,typical,0,16,0
166,control,2025-01-01 02:45:00,7,power_searchers,1,27,1
167,treatment,2025-01-01 02:46:00,2,light_searchers,1,21,0
168,treatment,2025-01-01 02:47:00,9,power_searchers,3,22,0
169,control,2025-01-01 02:48:00,6,typical,2,25,0
170,control,2025-01-01 02:49:00,10,power_searchers,3,18,0
171,control,2025-01-01 02:50:00,4,typical,5,28,0
172,control,2025-01-01 02:51:00,5,typical,3,28,0
173,treatment,2025-01-01 02:52:00,2,light_searchers,3,21,0
174,treatment,2025-01-01 02:53:00,6,typical,1,16,1
175,treatment,2025-01-01 02:54:00,6,typical,1,23,1
176,control,2025-01-01 02:55:00,4,typical,0,20,0
177,treatment,2025-01-01 02:56:00,5,typical,2,16,1
178,control,2025-01-01 02:57:00,5,typical,0,17,1
179,control,2025-01-01 02:58:00,5,typical,0,23,0
180,control,2025-01-01 02:59:00,8,power_searchers,2,17,1
181,treatment,2025-01-01 03:00:00,9,power_searchers,2,27,0
182,control,2025-01-01 03:01:00,8,power_searchers,1,21,0
183,treatment,2025-01-01 03:02:00,8,power_searchers,4,25,0
184,treatment,2025-01-01 03:03:00,8,power_searchers,4,24,1
185,control,2025-01-01 03:04:00,9,power_searchers,2,19,0
186,control,2025-01-01 03:05:00,5,typical,4,18,0
187,treatment,2025-01-01 03:06:00,6,typical,2,20,0
188,control,2025-01-01 03:07:00,5,typical,1,16,0
189,control,2025-01-01 03:08:00,5,typical,2,19,0
190,control,2025-01-01 03:09:00,8,power_searchers,2,22,1
191,control,2025-01-01 03:10:00,5,typical,1,23,0
192,treatment,2025-01-01 03:11:00,4,typical,1,18,0
193,treatment,2025-01-01 03:12:00,7,power_searchers,2,21,0
194,control,2025-01-01 03:13:00,4,typical,0,13,0
195,treatment,2025-01-01 03:14:00,5,typical,1,16,1
196,treatment,2025-01-01 03:15:00,3,light_searchers,2,22,0
197,treatment,2025-01-01 03:16:00,6,typical,2,18,0
198,treatment,2025-01-01 03:17:00,4,typical,1,18,0
199,treatment,2025-01-01 03:18:00,4,typical,0,17,0
200,treatment,2025-01-01 03:19:00,3,light_searchers,3,25,0
201,control,2025-01-01 03:20:00,8,power_searchers,5,25,0
202,control,2025-01-01 03:21:00,4,typical,1,22,0
203,control,2025-01-01 03:22:00,7,power_searchers,2,25,0
204,control,2025-01-01 03:23:00,6,typical,1,18,0
205,control,2025-01-01 03:24:00,3,light_searchers,1,19,0
206,treatment,2025-01-01 03:25:00,3,light_searchers,3,22,1
207,control,2025-01-01 03:26:00,5,typical,1,22,0
208,control,2025-01-01 03:27:00,6,typical,3,26,0
209,control,2025-01-01 03:28:00,5,typical,1,15,0
210,control,2025-01-01 03:29:00,6,typical,3,15,1
211,treatment,2025-01-01 03:30:00,7,power_searchers,2,26,0
212,control,2025-01-01 03:31:00,9,power_searchers,6,26,0
213,treatment,2025-01-01 03:32:00,10,power_searchers,2,25,0
214,treatment,2025-01-01 03:33:00,3,light_searchers,2,21,0
215,treatment,2025-01-01 03:34:00,9,power_searchers,2,27,0
216,treatment,2025-01-01 03:35:00,7,power_searchers,2,19,0
217,treatment,2025-01-01 03:36:00,3,light_searchers,1,10,0
218,treatment,2025-01-01 03:37:00,4,typical,2,22,0
219,treatment,2025-01-01 03:38:00,3,light_searchers,2,19,1
220,control,2025-01-01 03:39:00,9,power_searchers,5,21,0
221,treatment,2025-01-01 03:40:00,6,typical,2,14,0
222,treatment,2025-01-01 03:41:00,5,typical,0,10,0
223,control,2025-01-01 03:42:00,8,power_searchers,2,14,0
224,control,2025-01-01 03:43:00,6,typical,1,14,0
225,control,2025-01-01 03:44:00,7,power_searchers,4,24,0
226,treatment,2025-01-01 03:45:00,9,power_searchers,3,25,0
227,treatment,2025-01-01 03:46:00,8,power_searchers,2,25,0
228,treatment,2025-01-01 03:47:00,8,power_searchers,0,21,0
229,treatment,2025-01-01 03:48:00,9,power_searchers,1,16,1
230,control,2025-01-01 03:49:00,8,power_searchers,1,21,0
231,treatment,2025-01-01 03:50:00,4,typical,1,18,0
232,control,2025-01-01 03:51:00,7,power_searchers,2,28,1
233,treatment,2025-01-01 03:52:00,8,power_searchers,2,21,0
234,treatment,2025-01-01 03:53:00,5,typical,0,21,0
235,treatment,2025-01-01 03:54:00,4,typical,2,17,0
236,control,2025-01-01 03:55:00,7,power_searchers,4,32,0
237,control,2025-01-01 03:56:00,7,power_searchers,2,23,0
238,control,2025-01-01 03:57:00,5,typical,1,12,0
239,control,2025-01-01 03:58:00,7,power_searchers,2,23,0
240,treatment,2025-01-01 03:59:00,8,power_searchers,4,19,1
241,control,2025-01-01 04:00:00,7,power_searchers,2,24,0
242,control,2025-01-01 04:01:00,3,light_searchers,1,22,1
243,control,2025-01-01 04:02:00,3,light_searchers,2,23,0
244,treatment,2025-01-01 04:03:00,9,power_searchers,1,16,1
245,treatment,2025-01-01 04:04:00,10,power_searchers,5,21,0
246,treatment,2025-01-01 04:05:00,5,typical,2,20,0
247,treatment,2025-01-01 04:06:00,2,light_searchers,1,15,0
248,control,2025-01-01 04:07:00,3,light_searchers,1,20,0
249,treatment,2025-01-01 04:08:00,11,power_searchers,2,19,0
250,treatment,2025-01-01 04:09:00,4,typical,1,19,0
251,control,2025-01-01 04:10:00,5,typical,0,26,0
252,control,2025-01-01 04:11:00,9,power_searchers,3,24,0
253,treatment,2025-01-01 04:12:00,9,power_searchers,1,23,0
254,treatment,2025-01-01 04:13:00,5,typical,3,20,0
255,control,2025-01-01 04:14:00,10,power_searchers,1,20,1
256,control,2025-01-01 04:15:00,5,typical,0,13,0
257,treatment,2025-01-01 04:16:00,7,power_searchers,3,24,1
258,control,2025-01-01 04:17:00,10,power_searchers,2,23,0
259,treatment,2025-01-01 04:18:00,3,light_searchers,1,21,0
260,control,2025-01-01 04:19:00,6,typical,0,18,1
261,treatment,2025-01-01 04:20:00,6,typical,1,22,0
262,treatment,2025-01-01 04:21:00,6,typical,1,15,0
263,treatment,2025-01-01 04:22:00,6,typical,2,16,0
264,treatment,2025-01-01 04:23:00,8,power_searchers,4,20,0
265,treatment,2025-01-01 04:24:00,6,typical,2,21,0
266,treatment,2025-01-01 04:25:00,4,typical,5,25,0
267,control,2025-01-01 04:26:00,2,light_searchers,0,12,0
268,control,2025-01-01 04:27:00,7,power_searchers,1,19,0
269,treatment,2025-01-01 04:28:00,8,power_searchers,3,20,0
270,treatment,2025-01-01 04:29:00,4,typical,4,22,0
271,control,2025-01-01 04:30:00,5,typical,0,23,0
272,control,2025-01-01 04:31:00,4,typical,2,22,0
273,treatment,2025-01-01 04:32:00,9,power_searchers,4,26,0
274,control,2025-01-01 04:33:00,4,typical,1,15,0
275,treatment,2025-01-01 04:34:00,7,power_searchers,4,31,0
276,control,2025-01-01 04:35:00,7,power_searchers,2,17,0
277,control,2025-01-01 04:36:00,7,power_searchers,1,22,0
278,treatment,2025-01-01 04:37:00,4,typical,0,17,0
279,treatment,2025-01-01 04:38:00,6,typical,1,18,0
280,treatment,2025-01-01 04:39:00,6,typical,1,17,0
281,treatment,2025-01-01 04:40:00,7,power_searchers,3,20,0
282,treatment,2025-01-01 04:41:00,10,power_searchers,2,24,0
283,control,2025-01-01 04:42:00,4,typical,2,11,0
284,control,2025-01-01 04:43:00,6,typical,0,14,0
285,treatment,2025-01-01 04:44:00,4,typical,0,25,0
286,control,2025-01-01 04:45:00,5,typical,2,26,0
287,control,2025-01-01 04:46:00,7,power_searchers,1,23,0
288,treatment,2025-01-01 04:47:00,3,light_searchers,1,22,0
289,treatment,2025-01-01 04:48:00,5,typical,1,13,0
290,treatment,2025-01-01 04:49:00,6,typical,1,19,0
291,control,2025-01-01 04:50:00,7,power_searchers,5,19,0
292,treatment,2025-01-01 04:51:00,6,typical,2,23,0
293,treatment,2025-01-01 04:52:00,6,typical,3,17,0
294,control,2025-01-01 04:53:00,5,typical,0,9,0
295,control,2025-01-01 04:54:00,7,power_searchers,0,27,1
296,control,2025-01-01 04:55:00,4,typical,2,17,1
297,treatment,2025-01-01 04:56:00,6,typical,4,22,0
298,treatment,2025-01-01 04:57:00,3,light_searchers,2,26,0
299,treatment,2025-01-01 04:58:00,9,power_searchers,2,22,0
300,treatment,2025-01-01 04:59:00,8,power_searchers,3,31,0
301,treatment,2025-01-01 05:00:00,10,power_searchers,1,18,0
302,control,2025-01-01 05:01:00,4,typical,2,16,1
303,control,2025-01-01 05:02:00,6,typical,1,20,0
304,control,2025-01-01 05:03:00,4,typical,1,14,0
305,control,2025-01-01 05:04:00,6,typical,1,17,0
306,treatment,2025-01-01 05:05:00,2,light_searchers,2,24,1
307,treatment,2025-01-01 05:06:00,2,light_searchers,1,15,0
308,treatment,2025-01-01 05:07:00,7,power_searchers,1,19,0
309,treatment,2025-01-01 05:08:00,8,power_searchers,6,28,0
310,control,2025-01-01 05:09:00,5,typical,0,27,0
311,treatment,2025-01-01 05:10:00,5,typical,1,19,1
312,control,2025-01-01 05:11:00,5,typical,0,20,0
313,control,2025-01-01 05:12:00,7,power_searchers,3,18,0
314,treatment,2025-01-01 05:13:00,6,typical,1,14,0
315,treatment,2025-01-01 05:14:00,4,typical,1,18,0
316,treatment,2025-01-01 05:15:00,5,typical,3,23,0
317,control,2025-01-01 05:16:00,4,typical,2,26,0
318,treatment,2025-01-01 05:17:00,8,power_searchers,4,29,0
319,control,2025-01-01 05:18:00,6,typical,3,21,0
320,treatment,2025-01-01 05:19:00,9,power_searchers,0,22,0
321,treatment,2025-01-01 05:20:00,7,power_searchers,6,23,0
322,control,2025-01-01 05:21:00,8,power_searchers,3,25,0
323,treatment,2025-01-01 05:22:00,7,power_searchers,3,22,0
324,treatment,2025-01-01 05:23:00,6,typical,2,14,0
325,treatment,2025-01-01 05:24:00,7,power_searchers,2,21,0
326,treatment,2025-01-01 05:25:00,6,typical,3,22,0
327,treatment,2025-01-01 05:26:00,7,power_searchers,3,26,0
328,control,2025-01-01 05:27:00,8,power_searchers,2,24,0
329,treatment,2025-01-01 05:28:00,5,typical,0,20,1
330,control,2025-01-01 05:29:00,4,typical,3,21,0
331,control,2025-01-01 05:30:00,7,power_searchers,2,25,0
332,control,2025-01-01 05:31:00,2,light_searchers,0,18,0
333,control,2025-01-01 05:32:00,7,power_searchers,2,22,0
334,treatment,2025-01-01 05:33:00,4,typical,3,15,0
335,control,2025-01-01 05:34:00,4,typical,2,20,0
336,control,2025-01-01 05:35:00,6,typical,3,23,0
337,treatment,2025-01-01 05:36:00,5,typical,1,19,0
338,treatment,2025-01-01 05:37:00,7,power_searchers,1,25,0
339,treatment,2025-01-01 05:38:00,6,typical,1,19,0
340,control,2025-01-01 05:39:00,8,power_searchers,2,29,0
341,control,2025-01-01 05:40:00,5,typical,2,23,0
342,treatment,2025-01-01 05:41:00,5,typical,1,17,0
343,treatment,2025-01-01 05:42:00,5,typical,1,19,0
344,treatment,2025-01-01 05:43:00,8,power_searchers,1,21,0
345,treatment,2025-01-01 05:44:00,5,typical,3,25,0
346,treatment,2025-01-01 05:45:00,7,power_searchers,3,30,0
347,control,2025-01-01 05:46:00,7,power_searchers,1,27,0
348,treatment,2025-01-01 05:47:00,8,power_searchers,0,26,0
349,control,2025-01-01 05:48:00,7,power_searchers,3,25,0
350,treatment,2025-01-01 05:49:00,9,power_searchers,3,26,0
351,treatment,2025-01-01 05:50:00,5,typical,3,23,0
352,treatment,2025-01-01 05:51:00,5,typical,0,23,0
353,control,2025-01-01 05:52:00,6,typical,2,14,0
354,treatment,2025-01-01 05:53:00,5,typical,2,24,0
355,control,2025-01-01 05:54:00,3,light_searchers,0,20,0
356,control,2025-01-01 05:55:00,2,light_searchers,1,14,0
357,treatment,2025-01-01 05:56:00,8,power_searchers,0,25,0
358,treatment,2025-01-01 05:57:00,5,typical,2,21,0
359,control,2025-01-01 05:58:00,7,power_searchers,2,26,0
360,treatment,2025-01-01 05:59:00,5,typical,6,23,0
361,control,2025-01-01 06:00:00,6,typical,2,24,0
362,treatment,2025-01-01 06:01:00,11,power_searchers,3,23,0
363,control,2025-01-01 06:02:00,3,light_searchers,0,17,0
364,treatment,2025-01-01 06:03:00,3,light_searchers,2,23,0
365,treatment,2025-01-01 06:04:00,8,power_searchers,1,27,0
366,treatment,2025-01-01 06:05:00,4,typical,0,24,0
367,treatment,2025-01-01 06:06:00,8,power_searchers,2,18,0
368,control,2025-01-01 06:07:00,5,typical,1,17,0
369,treatment,2025-01-01 06:08:00,6,typical,1,14,0
370,control,2025-01-01 06:09:00,4,typical,4,24,0
371,control,2025-01-01 06:10:00,4,typical,2,20,0
372,control,2025-01-01 06:11:00,8,power_searchers,1,29,0
373,control,2025-01-01 06:12:00,7,power_searchers,3,29,0
374,control,2025-01-01 06:13:00,8,power_searchers,2,22,1
375,control,2025-01-01 06:14:00,6,typical,0,23,0
376,treatment,2025-01-01 06:15:00,13,power_searchers,5,23,1
377,control,2025-01-01 06:16:00,5,typical,2,20,0
378,control,2025-01-01 06:17:00,5,typical,2,21,0
379,control,2025-01-01 06:18:00,5,typical,2,19,0
380,control,2025-01-01 06:19:00,7,power_searchers,2,24,0
381,control,2025-01-01 06:20:00,10,power_searchers,5,21,0
382,treatment,2025-01-01 06:21:00,6,typical,0,14,0
383,control,2025-01-01 06:22:00,3,light_searchers,2,18,0
384,control,2025-01-01 06:23:00,6,typical,0,20,0
385,treatment,2025-01-01 06:24:00,3,light_searchers,4,22,0
386,control,2025-01-01 06:25:00,7,power_searchers,4,25,0
387,treatment,2025-01-01 06:26:00,6,typical,1,13,0
388,control,2025-01-01 06:27:00,7,power_searchers,6,23,0
389,treatment,2025-01-01 06:28:00,7,power_searchers,3,17,0
390,control,2025-01-01 06:29:00,5,typical,2,20,1
391,control,2025-01-01 06:30:00,11,power_searchers,1,19,1
392,control,2025-01-01 06:31:00,12,power_searchers,1,29,0
393,treatment,2025-01-01 06:32:00,4,typical,1,21,0
394,control,2025-01-01 06:33:00,3,light_searchers,2,16,0
395,control,2025-01-01 06:34:00,1,light_searchers,2,20,0
396,treatment,2025-01-01 06:35:00,3,light_searchers,0,16,0
397,treatment,2025-01-01 06:36:00,7,power_searchers,6,32,1
398,treatment,2025-01-01 06:37:00,9,power_searchers,3,20,0
399,treatment,2025-01-01 06:38:00,5,typical,1,20,0
400,treatment,2025-01-01 06:39:00,7,power_searchers,0,18,0
401,control,2025-01-01 06:40:00,2,light_searchers,2,17,0
402,treatment,2025-01-01 06:41:00,8,power_searchers,2,19,0
403,treatment,2025-01-01 06:42:00,4,typical,1,21,0
404,control,2025-01-01 06:43:00,7,power_searchers,4,29,0
405,control,2025-01-01 06:44:00,5,typical,0,23,0
406,treatment,2025-01-01 06:45:00,3,light_searchers,6,27,1
407,control,2025-01-01 06:46:00,4,typical,3,23,0
408,treatment,2025-01-01 06:47:00,6,typical,4,18,0
409,control,2025-01-01 06:48:00,7,power_searchers,2,17,0
410,control,2025-01-01 06:49:00,4,typical,1,17,0
411,treatment,2025-01-01 06:50:00,6,typical,2,17,1
412,control,2025-01-01 06:51:00,5,typical,3,23,0
413,control,2025-01-01 06:52:00,5,typical,4,26,0
414,treatment,2025-01-01 06:53:00,8,power_searchers,1,21,0
415,control,2025-01-01 06:54:00,5,typical,1,12,0
416,control,2025-01-01 06:55:00,9,power_searchers,4,19,0
417,treatment,2025-01-01 06:56:00,9,power_searchers,5,29,0
418,control,2025-01-01 06:57:00,6,typical,3,20,0
419,control,2025-01-01 06:58:00,6,typical,2,12,0
420,treatment,2025-01-01 06:59:00,5,typical,2,21,0
421,treatment,2025-01-01 07:00:00,7,power_searchers,5,24,0
422,treatment,2025-01-01 07:01:00,2,light_searchers,1,25,0
423,control,2025-01-01 07:02:00,5,typical,1,17,0
424,treatment,2025-01-01 07:03:00,4,typical,4,19,0
425,treatment,2025-01-01 07:04:00,4,typical,1,19,0
426,control,2025-01-01 07:05:00,7,power_searchers,3,19,0
427,control,2025-01-01 07:06:00,6,typical,3,18,0
428,treatment,2025-01-01 07:07:00,8,power_searchers,2,21,0
429,treatment,2025-01-01 07:08:00,4,typical,2,19,0
430,control,2025-01-01 07:09:00,2,light_searchers,3,20,0
431,treatment,2025-01-01 07:10:00,7,power_searchers,3,32,0
432,treatment,2025-01-01 07:11:00,6,typical,4,23,0
433,control,2025-01-01 07:12:00,4,typical,1,17,0
434,treatment,2025-01-01 07:13:00,7,power_searchers,0,28,0
435,control,2025-01-01 07:14:00,6,typical,2,17,0
436,treatment,2025-01-01 07:15:00,3,light_searchers,0,19,0
437,treatment,2025-01-01 07:16:00,5,typical,4,27,0
438,treatment,2025-01-01 07:17:00,4,typical,1,18,0
439,treatment,2025-01-01 07:18:00,3,light_searchers,3,24,0
440,treatment,2025-01-01 07:19:00,7,power_searchers,2,14,0
441,control,2025-01-01 07:20:00,1,light_searchers,1,16,0
442,treatment,2025-01-01 07:21:00,3,light_searchers,4,26,0
443,control,2025-01-01 07:22:00,5,typical,2,24,1
444,treatment,2025-01-01 07:23:00,3,light_searchers,5,24,0
445,control,2025-01-01 07:24:00,4,typical,1,22,0
446,control,2025-01-01 07:25:00,5,typical,1,24,0
447,treatment,2025-01-01 07:26:00,6,typical,1,19,0
448,control,2025-01-01 07:27:00,3,light_searchers,1,12,0
449,treatment,2025-01-01 07:28:00,14,power_searchers,1,19,0
450,treatment,2025-01-01 07:29:00,3,light_searchers,0,21,0
451,control,2025-01-01 07:30:00,8,power_searchers,4,25,0
452,control,2025-01-01 07:31:00,5,typical,2,20,0
453,control,2025-01-01 07:32:00,2,light_searchers,0,19,0
454,control,2025-01-01 07:33:00,5,typical,1,18,0
455,treatment,2025-01-01 07:34:00,7,power_searchers,4,24,0
456,control,2025-01-01 07:35:00,4,typical,0,18,0
